athleteName,clubName,countryName,source
Nikita Haikin,Chelsea F.C.,Israel,DBpedia
Luke Freeman,Arsenal F.C.,United Kingdom,DBpedia
Fraser Franks,Chelsea F.C.,United Kingdom,DBpedia
"Fred Williams (footballer, born 1873)",Manchester United F.C.,United Kingdom,DBpedia
"Alex Menzies (footballer, born 1882)",Manchester United F.C.,United Kingdom,DBpedia
Allan Craig,Chelsea F.C.,Scotland,DBpedia
Ken Nicholas,Arsenal F.C.,United Kingdom,DBpedia
Albert Jackson (footballer),Manchester United F.C.,United Kingdom,DBpedia
Martin Moran (footballer),Chelsea F.C.,Scotland,DBpedia
Jimmy Dyer,Manchester United F.C.,United Kingdom,DBpedia
Jimmy Croal,Chelsea F.C.,United Kingdom,DBpedia
Wally Bellett,Chelsea F.C.,United Kingdom,DBpedia
Florent Malouda,Chelsea F.C.,France,DBpedia
Eddie Colman,Manchester United F.C.,United Kingdom,DBpedia
Papy Djilobodji,Chelsea F.C.,Senegal,DBpedia
Jackie Scott,Manchester United F.C.,United Kingdom,DBpedia
Isaac Tomlinson,Arsenal F.C.,United Kingdom,DBpedia
Richard Goddard-Crawley,Arsenal F.C.,United Kingdom,DBpedia
Keil O'Brien,Manchester United F.C.,United Kingdom,DBpedia
John Priestley (footballer),Chelsea F.C.,Scotland,DBpedia
Noah Abrams,Arsenal F.C.,United Kingdom,DBpedia
Andreas Christensen,Chelsea F.C.,Denmark,DBpedia
Cristhian Mosquera,Arsenal F.C.,Spain,DBpedia
Ainsley Maitland-Niles,Arsenal F.C.,United Kingdom,DBpedia
Alejandro Garnacho,Manchester United F.C.,Spain,DBpedia
Gabriel Martinelli,Arsenal F.C.,Brazil,DBpedia
Ismaël Bennacer,Arsenal F.C.,France,DBpedia
Jakub Kiwior,Arsenal F.C.,Poland,DBpedia
Marc Bola,Arsenal F.C.,United Kingdom,DBpedia
Kevin De Bruyne,Chelsea F.C.,Belgium,DBpedia
"João Pedro (footballer, born 2001)",Chelsea F.C.,Brazil,DBpedia
Lucas Bergström,Chelsea F.C.,Finland,DBpedia
Levi Colwill,Chelsea F.C.,United Kingdom,DBpedia
Liam Delap,Chelsea F.C.,United Kingdom,DBpedia
Mattéo Guendouzi,Arsenal F.C.,France,DBpedia
Nicolas Jackson,Chelsea F.C.,The Gambia,DBpedia
Reggie Walsh,Chelsea F.C.,United Kingdom,DBpedia
Tariq Lamptey,Chelsea F.C.,United Kingdom,DBpedia
Andy Linighan,Arsenal F.C.,United Kingdom,DBpedia
Lucas Piazon,Chelsea F.C.,Brazil,DBpedia
Fraizer Campbell,Manchester United F.C.,United Kingdom,DBpedia
Jimmy Davis (footballer),Manchester United F.C.,England,DBpedia
Herbert Birchenough,Manchester United F.C.,United Kingdom,DBpedia
Vic Groves,Arsenal F.C.,United Kingdom,DBpedia
"William Robertson (footballer, born 1907)",Manchester United F.C.,United Kingdom,DBpedia
Alan Cocks,Chelsea F.C.,United Kingdom,DBpedia
Billy Gee,Chelsea F.C.,United Kingdom,DBpedia
Dion Rankine,Chelsea F.C.,United Kingdom,DBpedia
Harrison Ashby,Chelsea F.C.,United Kingdom,DBpedia
Jeff Reine-Adélaïde,Arsenal F.C.,France,DBpedia
"Joe Riley (footballer, born 1996)",Manchester United F.C.,United Kingdom,DBpedia
Kyle Scott,Chelsea F.C.,United Kingdom,DBpedia
Michael Golding (footballer),Chelsea F.C.,United Kingdom,DBpedia
Ola Aina,Chelsea F.C.,United Kingdom,DBpedia
Thomas Partey,Arsenal F.C.,Ghana,DBpedia
Thierno Ballo,Chelsea F.C.,Ivory Coast,DBpedia
Tim Akinola,Arsenal F.C.,Nigeria,DBpedia
Willy Kambwala,Manchester United F.C.,Democratic Republic of the Congo,DBpedia
Xavier Simons,Chelsea F.C.,United Kingdom,DBpedia
Zidane Iqbal,Manchester United F.C.,United Kingdom,DBpedia
Bradley Ibrahim,Arsenal F.C.,United Kingdom,DBpedia
Donald Love,Manchester United F.C.,United Kingdom,DBpedia
Zech Medley,Chelsea F.C.,United Kingdom,DBpedia
George Best,Manchester United F.C.,United Kingdom,DBpedia
Edinson Cavani,Manchester United F.C.,Uruguay,DBpedia
